   428→const AREA_UPGRADES: Record<string, Upgrade[]> = {
   429→  ratnapura: [
   600→    { id: 'neutron_star_resonance', name: 'Neutron Resonance', description: 'x10T multiplier per level', icon: '🎵', baseCost: 1e46, costMultiplier: 1.8, level: 0, effect: 'multiplier', value: 1e13, maxLevel: 2000},
   601→    { id: 'neutron_star_luck', name: 'Golden Fortune', description: '+0.03% golden chance per level', icon: '🍀', baseCost: 2.5e46, costMultiplier: 2.0, level: 0, effect: 'goldenChance', value: 0.0003, maxLevel: 20 },
   602→    { id: 'neutron_star_ultimate', name: 'Neutronium Core', description: 'x20T multiplier per level', icon: '💫', baseCost: 5e47, costMultiplier: 2.5, level: 0, effect: 'multiplier', value: 2e13, maxLevel: 2000},
   603→  ],
   604→  singularity: [
   605→    { id: 'singularity_hammer', name: 'Singularity Hammer', description: '+2AD click power per level', icon: '🔨', baseCost: 5e47, costMultiplier: 1.6, level: 0, effect: 'clickPower', value: 2e24, maxLevel: 2000},
   606→    { id: 'singularity_excavator', name: 'Event Horizon Excavator', description: '+1AD crystals/sec', icon: '⚙️', baseCost: 5e48, costMultiplier: 1.6, level: 0, effect: 'autoRate', value: 1e24, maxLevel: 2000},
   607→    { id: 'singularity_resonance', name: 'Singularity Resonance', description: 'x50T multiplier per level', icon: '🎵', baseCost: 5e48, costMultiplier: 1.8, level: 0, effect: 'multiplier', value: 5e13, maxLevel: 2000},
   608→    { id: 'singularity_luck', name: 'Critical Fortune', description: '+0.03% crit chance per level', icon: '🍀', baseCost: 5e48, costMultiplier: 2.0, level: 0, effect: 'critChance', value: 0.0003, maxLevel: 25 },
   609→    { id: 'singularity_ultimate', name: 'Infinity Shard', description: 'x100T multiplier per level', icon: '🕳️', baseCost: 5e49, costMultiplier: 2.5, level: 0, effect: 'multiplier', value: 1e14, maxLevel: 2000},
   610→  ],
   611→};
   612→
   613→// All upgrade IDs belonging to the naica area (default upgrades)
   614→const NAICA_UPGRADE_IDS = new Set(DEFAULT_UPGRADES.map(u => u.id));
   615→
   616→// Helper to get upgrades for a specific area
   617→export function getUpgradesForArea(areaId: string, allUpgrades: Upgrade[]): Upgrade[] {
   618→  if (areaId === 'naica') return allUpgrades.filter(u => NAICA_UPGRADE_IDS.has(u.id));
   619→  return allUpgrades.filter(u => u.id.startsWith(areaId + '_'));
   620→}
   621→
   622→const ACHIEVEMENT_DEFS = [
   623→  { id: 'first_click', name: 'First Spark', description: 'Click the crystal for the first time', icon: '⚡' },
   624→  { id: 'clicks_100', name: 'Dedicated Clicker', description: 'Click 100 times', icon: '👆' },
   625→  { id: 'clicks_1000', name: 'Click Master', description: 'Click 1,000 times', icon: '🏆' },
   626→  { id: 'clicks_10000', name: 'Click Legend', description: 'Click 10,000 times', icon: '👑' },
   627→  { id: 'clicks_50000', name: 'Click God', description: 'Click 50,000 times', icon: '🌟' },
   628→  { id: 'clicks_100k', name: 'Beyond Human', description: 'Click 100,000 times', icon: '🤯' },
   629→  { id: 'clicks_500k', name: 'Click Dimension', description: 'Click 500,000 times', icon: '🌌' },
   630→  { id: 'clicks_1m', name: 'Eternal Clicker', description: 'Click 1,000,000 times', icon: '♾️' },
   631→  { id: 'crystals_100', name: 'Crystal Collector', description: 'Earn 100 total crystals', icon: '💎' },
   632→  { id: 'crystals_1000', name: 'Crystal Hoarder', description: 'Earn 1,000 total crystals', icon: '💰' },
   633→  { id: 'crystals_10000', name: 'Crystal Tycoon', description: 'Earn 10,000 total crystals', icon: '🏦' },
   634→  { id: 'crystals_100000', name: 'Crystal Empire', description: 'Earn 100,000 total crystals', icon: '🏰' },
   635→  { id: 'crystals_1m', name: 'Crystal God', description: 'Earn 1,000,000 total crystals', icon: '🌍' },
   636→  { id: 'crystals_10m', name: 'Crystal Universe', description: 'Earn 10M total crystals', icon: '🪐' },
   637→  { id: 'crystals_1b', name: 'Crystal Multiverse', description: 'Earn 1B total crystals', icon: '🌌' },
   638→  { id: 'crystals_1t', name: 'Crystal Infinity', description: 'Earn 1T total crystals', icon: '🌀' },
   639→  { id: 'upgrade_first', name: 'First Upgrade', description: 'Buy your first upgrade', icon: '⬆️' },
   640→  { id: 'upgrade_10', name: 'Upgrade Enthusiast', description: 'Buy 10 total upgrades', icon: '🔧' },
   641→  { id: 'upgrade_50', name: 'Upgrade Master', description: 'Buy 50 total upgrades', icon: '🛠️' },
   642→  { id: 'upgrade_100', name: 'Upgrade Expert', description: 'Buy 100 total upgrades', icon: '🔧' },
   643→  { id: 'upgrade_500', name: 'Upgrade Legend', description: 'Buy 500 total upgrades', icon: '⚙️' },
   644→  { id: 'upgrade_1000', name: 'Upgrade God', description: 'Buy 1,000 total upgrades', icon: '🏗️' },
   645→  { id: 'combo_5', name: 'Combo Starter', description: 'Reach a 5x combo', icon: '🔥' },
   646→  { id: 'combo_10', name: 'Combo Master', description: 'Reach a 10x combo', icon: '💥' },
   647→  { id: 'combo_25', name: 'Combo Legend', description: 'Reach a 25x combo', icon: '🌀' },
   648→  { id: 'combo_50', name: 'Combo God', description: 'Reach a 50x combo', icon: '☄️' },
   649→  { id: 'crit_first', name: 'Critical Thinker', description: 'Land your first critical hit', icon: '🎯' },
   650→  { id: 'crit_100', name: 'Critical Master', description: 'Land 100 critical hits', icon: '💫' },
   651→  { id: 'crit_500', name: 'Critical Legend', description: 'Land 500 critical hits', icon: '💥' },
   652→  { id: 'crit_1000', name: 'Critical God', description: 'Land 1,000 critical hits', icon: '⚡' },
   653→  { id: 'golden_first', name: 'Lucky Strike', description: 'Click a golden crystal', icon: '🥇' },
   654→  { id: 'golden_10', name: 'Golden Touch', description: 'Click 10 golden crystals', icon: '✨' },
   655→  { id: 'golden_50', name: 'Golden King', description: 'Click 50 golden crystals', icon: '👑' },
   656→  { id: 'golden_100', name: 'Golden Emperor', description: 'Click 100 golden crystals', icon: '🏅' },
   657→  { id: 'golden_500', name: 'Golden Deity', description: 'Click 500 golden crystals', icon: '🌟' },
   658→  { id: 'prestige_1', name: 'Rebirth', description: 'Prestige for the first time', icon: '🔄' },
   659→  { id: 'prestige_5', name: 'Experienced Soul', description: 'Prestige 5 times', icon: '🌈' },
   660→  { id: 'prestige_10', name: 'Prestige Veteran', description: 'Prestige 10 times', icon: '🔮' },
   661→  { id: 'prestige_25', name: 'Prestige Legend', description: 'Prestige 25 times', icon: '👑' },
   662→  { id: 'prestige_50', name: 'Transcendent', description: 'Prestige 50 times', icon: '🌌' },
   663→  { id: 'auto_10', name: 'Automated', description: 'Have 10+ auto crystals/sec', icon: '⚙️' },
   664→  { id: 'auto_100', name: 'Factory Owner', description: 'Have 100+ auto crystals/sec', icon: '🏭' },
   665→  { id: 'auto_500', name: 'Industrialist', description: 'Have 500+ auto crystals/sec', icon: '🏗️' },
   666→  { id: 'auto_1000', name: 'Auto God', description: 'Have 1,000+ auto crystals/sec', icon: '🤖' },
   667→  { id: 'speed_5', name: 'Speed Demon', description: 'Reach 5+ clicks per second', icon: '⚡' },
   668→  { id: 'speed_10', name: 'Click Machine', description: 'Reach 10+ clicks per second', icon: '🤖' },
   669→  { id: 'speed_15', name: 'Inhuman Speed', description: 'Reach 15+ clicks per second', icon: '💨' },
   670→  { id: 'speed_20', name: 'Speed Lord', description: 'Reach 20+ clicks per second', icon: '🌪️' },
   671→  { id: 'event_first', name: 'Eventful', description: 'Experience your first event', icon: '🎉' },
   672→  { id: 'event_10', name: 'Event Veteran', description: 'Experience 10 events', icon: '🎊' },
   673→  { id: 'event_25', name: 'Event Master', description: 'Experience 25 events', icon: '🎪' },
   674→  { id: 'event_50', name: 'Event Lord', description: 'Experience 50 events', icon: '🎭' },
   675→  { id: 'areas_3', name: 'World Traveler', description: 'Unlock 3 mine locations', icon: '✈️' },
   676→  { id: 'areas_5', name: 'Globe Trotter', description: 'Unlock 5 mine locations', icon: '🌎' },
   677→  { id: 'areas_10', name: 'Mining Mogul', description: 'Unlock 10 mine locations', icon: '🗺️' },
   678→  { id: 'areas_15', name: 'Planetary Explorer', description: 'Unlock 15 mine locations', icon: '🚀' },
   679→  { id: 'areas_all', name: 'Master of the Cosmos', description: 'Unlock all mine locations', icon: '🌌' },
   680→  { id: 'multiplier_5', name: 'Power Surge', description: 'Reach a 5x multiplier', icon: '📈' },
   681→  { id: 'multiplier_10', name: 'Multiplier King', description: 'Reach a 10x multiplier', icon: '🚀' },
   682→  { id: 'multiplier_50', name: 'Exponential Growth', description: 'Reach a 50x multiplier', icon: '📈' },
   683→  { id: 'multiplier_100', name: 'Multiplier God', description: 'Reach a 100x multiplier', icon: '💠' },
   684→  { id: 'clickpower_10', name: 'Strong Arm', description: 'Reach 10+ click power', icon: '💪' },
   685→  { id: 'clickpower_100', name: 'Crystal Crusher', description: 'Reach 100+ click power', icon: '🔨' },
   686→  { id: 'clickpower_1000', name: 'Crystal Annihilator', description: 'Reach 1,000+ click power', icon: '💣' },
   687→  { id: 'session_10k', name: 'Productive Session', description: 'Earn 10,000 crystals in one session', icon: '📊' },
   688→  { id: 'session_1m', name: 'Epic Session', description: 'Earn 1M crystals in one session', icon: '🏆' },
   689→  { id: 'session_1b', name: 'Legendary Session', description: 'Earn 1B crystals in one session', icon: '👑' },
   690→  { id: 'prestige_points_10', name: 'Prestige Power', description: 'Accumulate 10+ prestige points', icon: '✨' },
   691→  { id: 'prestige_points_50', name: 'Prestige Force', description: 'Accumulate 50+ prestige points', icon: '💫' },
   692→  { id: 'prestige_points_100', name: 'Prestige Almighty', description: 'Accumulate 100+ prestige points', icon: '🌟' },
   693→  { id: 'offline_earn', name: 'Idle Riches', description: 'Earn crystals while offline', icon: '😴' },
   694→  { id: 'offline_big', name: 'Sleeping Millionaire', description: 'Earn 1M+ crystals while offline', icon: '🛌' },
   695→  { id: 'reached_zz', name: 'Beyond Infinity', description: 'Reach ZZ crystals — the absolute limit', icon: '🌀' },
   696→] as const;
   697→
   698→function buildAchievementConditions(): Achievement[] {
   699→  return ACHIEVEMENT_DEFS.map(a => ({
   700→    ...a,
   701→    unlocked: false,
   702→    condition: (s: GameState) => {
   703→      const ul = s.upgrades.reduce((sum, u) => sum + u.level, 0);
   704→      const areaCount = s.unlockedAreas.length;
   705→      switch (a.id) {
   706→        case 'first_click': return s.totalClicks >= 1;
   707→        case 'clicks_100': return s.totalClicks >= 100;
   708→        case 'clicks_1000': return s.totalClicks >= 1000;
   709→        case 'clicks_10000': return s.totalClicks >= 10000;
   710→        case 'clicks_50000': return s.totalClicks >= 50000;
   711→        case 'clicks_100k': return s.totalClicks >= 100000;
   712→        case 'clicks_500k': return s.totalClicks >= 500000;
   713→        case 'clicks_1m': return s.totalClicks >= 1000000;
   714→        case 'crystals_100': return s.totalEarned >= 100;
   715→        case 'crystals_1000': return s.totalEarned >= 1000;
   716→        case 'crystals_10000': return s.totalEarned >= 10000;
   717→        case 'crystals_100000': return s.totalEarned >= 100000;
   718→        case 'crystals_1m': return s.totalEarned >= 1000000;
   719→        case 'crystals_10m': return s.totalEarned >= 10000000;
   720→        case 'crystals_1b': return s.totalEarned >= 1e9;
   721→        case 'crystals_1t': return s.totalEarned >= 1e12;
   722→        case 'upgrade_first': return ul >= 1;
   723→        case 'upgrade_10': return ul >= 10;
   724→        case 'upgrade_50': return ul >= 50;
   725→        case 'upgrade_100': return ul >= 100;
   726→        case 'upgrade_500': return ul >= 500;
   727→        case 'upgrade_1000': return ul >= 1000;
   728→        case 'combo_5': return s.maxCombo >= 5;
   729→        case 'combo_10': return s.maxCombo >= 10;
   730→        case 'combo_25': return s.maxCombo >= 25;
   731→        case 'combo_50': return s.maxCombo >= 50;
   732→        case 'crit_first': return s.totalCrits >= 1;
   733→        case 'crit_100': return s.totalCrits >= 100;
   734→        case 'crit_500': return s.totalCrits >= 500;
   735→        case 'crit_1000': return s.totalCrits >= 1000;
   736→        case 'golden_first': return s.goldenClicks >= 1;
   737→        case 'golden_10': return s.goldenClicks >= 10;
   738→        case 'golden_50': return s.goldenClicks >= 50;
   739→        case 'golden_100': return s.goldenClicks >= 100;
   740→        case 'golden_500': return s.goldenClicks >= 500;
   741→        case 'prestige_1': return s.prestige >= 1;
   742→        case 'prestige_5': return s.prestige >= 5;
   743→        case 'prestige_10': return s.prestige >= 10;
   744→        case 'prestige_25': return s.prestige >= 25;
   745→        case 'prestige_50': return s.prestige >= 50;
   746→        case 'auto_10': return s.autoRate >= 10;
   747→        case 'auto_100': return s.autoRate >= 100;
   748→        case 'auto_500': return s.autoRate >= 500;
   749→        case 'auto_1000': return s.autoRate >= 1000;
   750→        case 'speed_5': return s.clicksPerSecond >= 5;
   751→        case 'speed_10': return s.clicksPerSecond >= 10;
   752→        case 'speed_15': return s.clicksPerSecond >= 15;
   753→        case 'speed_20': return s.clicksPerSecond >= 20;
   754→        case 'event_first': return s.totalEvents >= 1;
   755→        case 'event_10': return s.totalEvents >= 10;
   756→        case 'event_25': return s.totalEvents >= 25;
   757→        case 'event_50': return s.totalEvents >= 50;
   758→        case 'areas_3': return areaCount >= 3;
   759→        case 'areas_5': return areaCount >= 5;
   760→        case 'areas_10': return areaCount >= 10;
   761→        case 'areas_15': return areaCount >= 15;
   762→        case 'areas_all': return areaCount >= AREAS.length;
   763→        case 'multiplier_5': return s.multiplier >= 5;
   764→        case 'multiplier_10': return s.multiplier >= 10;
   765→        case 'multiplier_50': return s.multiplier >= 50;
   766→        case 'multiplier_100': return s.multiplier >= 100;
   767→        case 'clickpower_10': return s.clickPower >= 10;
   768→        case 'clickpower_100': return s.clickPower >= 100;
   769→        case 'clickpower_1000': return s.clickPower >= 1000;
   770→        case 'session_10k': return s.sessionEarned >= 10000;
   771→        case 'session_1m': return s.sessionEarned >= 1000000;
   772→        case 'session_1b': return s.sessionEarned >= 1e9;
   773→        case 'prestige_points_10': return s.prestigePoints >= 10;
   774→        case 'prestige_points_50': return s.prestigePoints >= 50;
   775→        case 'prestige_points_100': return s.prestigePoints >= 100;
   776→        case 'offline_earn': return s.offlineEarned > 0;
   777→        case 'offline_big': return s.offlineEarned >= 1000000;
   778→        case 'reached_zz': return s.crystals >= 1e2040;
   779→        default: return false;
   780→      }
   781→    },
   782→  }));
   783→}
   784→
   785→// ====== Utility Functions ======
   786→export const getUpgradeCost = (u: Upgrade) => Math.floor(u.baseCost * Math.pow(u.costMultiplier, u.level));
   787→export const getCostForLevel = (u: Upgrade, lvl: number) => Math.floor(u.baseCost * Math.pow(u.costMultiplier, lvl));
   788→
   789→export const getMaxBuyCount = (u: Upgrade, money: number): number => {
   790→  const cap = u.maxLevel ? u.maxLevel - u.level : 10000;
   791→  let total = 0; let count = 0;
   792→  for (let i = 0; i < cap; i++) {
   793→    const c = getCostForLevel(u, u.level + i);
   794→    if (total + c > money) break;
   795→    total += c; count++;
   796→  }
   797→  return count;
   798→};
   799→
   800→export const getTotalCostN = (u: Upgrade, n: number): number => {
   801→  let t = 0;
   802→  for (let i = 0; i < n; i++) t += getCostForLevel(u, u.level + i);
   803→  return t;
   804→};
   805→
   806→const POWER_UP_DEFS: Omit<PowerUp, 'timer'>[] = [
   807→  { id: 'double_click', name: 'Double Power!', icon: '💪', effect: 'doubleClick', duration: 300, value: 2 },
   808→  { id: 'triple_auto', name: 'Triple Auto!', icon: '⚡', effect: 'tripleAuto', duration: 300, value: 3 },
   809→  { id: 'instant_bonus', name: 'Crystal Rain!', icon: '🌧️', effect: 'instantBonus', duration: 0, value: 0 },
   810→];
   811→
   812→const EVENT_DEFS: Omit<GameEvent, 'timer'>[] = [
   813→  { id: 'crystal_storm', name: 'Crystal Storm', description: 'Auto income doubled!', icon: '🌩️', effect: 'doubleAuto', duration: 600, value: 2 },
   814→  { id: 'lucky_hour', name: 'Lucky Hour', description: 'All clicks deal double!', icon: '🍀', effect: 'doubleClick', duration: 600, value: 2 },
   815→  { id: 'golden_fever', name: 'Golden Fever', description: '3x golden spawn rate!', icon: '🌟', effect: 'tripleGolden', duration: 600, value: 3 },
   816→];
   817→
   818→const MILESTONE_DEFS: Omit<Milestone, 'celebrated'>[] = [
   819→  { id: 1, value: 100, label: '100 Crystals!', icon: '💎' },
   820→  { id: 2, value: 1000, label: '1,000 Crystals!', icon: '💰' },
   821→  { id: 3, value: 10000, label: '10K Crystals!', icon: '🏆' },
   822→  { id: 4, value: 100000, label: '100K Crystals!', icon: '🏰' },
   823→  { id: 5, value: 1000000, label: '1M Crystals!', icon: '👑' },
   824→  { id: 6, value: 10000000, label: '10M Crystals!', icon: '🌍' },
   825→  { id: 7, value: 100000000, label: '100M Crystals!', icon: '🪐' },
   826→  { id: 8, value: 1000000000, label: '1B Crystals!', icon: '⭐' },
   827→];
   828→
   829→function recalcStats(upgrades: Upgrade[]) {
   830→  let clickPower = 1; let autoRate = 0; let multiplier = 1;
   831→  let goldenChance = 0.03; let critChance = 0.05;
   832→  for (const u of upgrades) {
   833→    for (let i = 0; i < u.level; i++) {
   834→      switch (u.effect) {
   835→        case 'clickPower': clickPower += u.value; break;
   836→        case 'autoRate': autoRate += u.value; break;
   837→        case 'multiplier': multiplier += u.value; break;
   838→        case 'goldenChance': goldenChance += u.value; break;
   839→        case 'critChance': critChance += u.value; break;
   840→      }
   841→    }
   842→  }
   843→  return { clickPower, autoRate, multiplier, goldenChance: Math.min(goldenChance, 0.75), critChance: Math.min(critChance, 1.0) };
   844→}
   845→
   846→// ====== Store ======
   847→export const useGameStore = create<GameState>((set, get) => ({
   848→  crystals: 0, totalClicks: 0, totalEarned: 0, clickPower: 1, multiplier: 1, autoRate: 0,
   849→  prestige: 0, prestigePoints: 0,
   850→  combo: 0, comboTimer: 0, maxCombo: 0, lastClickTime: 0,
   851→  clickTimestamps: [], clicksPerSecond: 0,
   852→  critChance: 0.05, critMultiplier: 5, totalCrits: 0,
   853→  goldenClicks: 0, goldenChance: 0.03, goldenActive: false, goldenTimer: 0, goldenClickValue: 0,
   854→  activePowerUp: null, powerUpTimer: 0,
   855→  activeEvent: null, eventTimer: 0, totalEvents: 0,
   856→  buyQuantity: 1 as BuyQuantity,
   857→  sessionStartTime: Date.now(), sessionClicks: 0, sessionEarned: 0,
   858→  milestones: MILESTONE_DEFS.map(m => ({ ...m, celebrated: false })),
   859→  lastOnlineTime: Date.now(), offlineEarned: 0, showOfflineBonus: false,
   860→  floatingTexts: [], floatingTextId: 0,
   861→  achievementQueue: [], currentNotification: null, notificationTimer: 0,
   862→  ripples: [], rippleId: 0,
   863→  currentArea: 'naica',
   864→  unlockedAreas: ['naica'],
   865→  upgrades: [
   866→    ...DEFAULT_UPGRADES.map(u => ({ ...u })),
   867→    ...Object.values(AREA_UPGRADES).flat().map(u => ({ ...u })),
   868→  ],
   869→  achievements: buildAchievementConditions(),
   870→  screenShake: false, crystalPulse: 0, activeTab: 'upgrades',
   871→
   872→  click: (x, y) => {
   873→    const s = get(); const now = Date.now();
   874→    const recent = [...s.clickTimestamps, now].filter(t => now - t < 1000);
   875→    let newCombo = 1; let newMax = s.maxCombo;
   876→    if (now - s.lastClickTime < 500) newCombo = Math.min(s.combo + 1, 50);
   877→    if (newCombo > newMax) newMax = newCombo;
   878→
   879→    const comboMult = 1 + (newCombo - 1) * 0.1;
   880→    const prestMult = 1 + s.prestigePoints * 0.1;
   881→    const puMult = s.activePowerUp?.effect === 'doubleClick' ? s.activePowerUp.value : 1;
   882→    const evMult = s.activeEvent?.effect === 'doubleClick' ? s.activeEvent.value : 1;
   883→    let value = s.clickPower * s.multiplier * comboMult * prestMult * puMult * evMult;
   884→
   885→    let isCrit = false;
   886→    if (Math.random() < s.critChance) { isCrit = true; value *= s.critMultiplier; }
   887→
   888→    const rv = Math.round(value * 10) / 10;
   889→    const tt: FloatingText['type'] = isCrit ? 'crit' : newCombo > 1 ? 'combo' : 'normal';
   890→    const newRippleId = s.rippleId + 1;
   891→
   892→    set({
   893→      crystals: Math.round((s.crystals + rv) * 100) / 100,
   894→      totalClicks: s.totalClicks + 1, totalEarned: Math.round((s.totalEarned + rv) * 100) / 100,
   895→      sessionClicks: s.sessionClicks + 1, sessionEarned: Math.round((s.sessionEarned + rv) * 100) / 100,
   896→      combo: newCombo, comboTimer: 60, maxCombo: newMax, lastClickTime: now,
   897→      totalCrits: isCrit ? s.totalCrits + 1 : s.totalCrits,
   898→      screenShake: isCrit || newCombo >= 10,
   899→      crystalPulse: isCrit ? 3 : newCombo >= 5 ? 2 : 1,
   900→      floatingTextId: s.floatingTextId + 1,
   901→      clickTimestamps: recent, clicksPerSecond: recent.length,
   902→      ripples: [...s.ripples.slice(-6), { id: newRippleId, x, y, type: tt }], rippleId: newRippleId,
   903→    });
   904→    get().addFloatingText(x, y, rv, tt);
   905→    get().checkAchievements();
   906→    get().checkMilestones();
   907→  },
   908→
   909→  clickGolden: (x, y) => {
   910→    const s = get();
   911→    if (!s.goldenActive) return;
   912→    const evMult = s.activeEvent?.effect === 'tripleGolden' ? s.activeEvent.value : 1;
   913→    const value = Math.round(s.goldenClickValue * (1 + s.prestigePoints * 0.1) * evMult * 10) / 10;
   914→    set({
   915→      crystals: Math.round((s.crystals + value) * 100) / 100,
   916→      totalEarned: Math.round((s.totalEarned + value) * 100) / 100,
   917→      sessionEarned: Math.round((s.sessionEarned + value) * 100) / 100,
   918→      goldenClicks: s.goldenClicks + 1, goldenActive: false, goldenTimer: 0,
   919→      screenShake: true, crystalPulse: 4,
   920→    });
   921→    get().addFloatingText(x, y, value, 'golden');
   922→    get().checkAchievements(); get().checkMilestones();
   923→  },
   924→
   925→  buyUpgrade: (id) => {
   926→    const s = get(); const idx = s.upgrades.findIndex(u => u.id === id);
   927→    if (idx === -1) return false;
   928→    const u = { ...s.upgrades[idx] };
   929→    if (u.maxLevel && u.level >= u.maxLevel) return false;
   930→    const cost = getUpgradeCost(u);
   931→    if (s.crystals < cost) return false;
   932→    const nu = [...s.upgrades]; nu[idx] = { ...u, level: u.level + 1 };
   933→    const stats = recalcStats(nu);
   934→    set({ crystals: Math.round((s.crystals - cost) * 100) / 100, upgrades: nu, ...stats });
   935→    get().checkAchievements();
   936→    get().checkAreaUnlocks();
   937→    return true;
   938→  },
   939→
   940→  setBuyQuantity: (q) => set({ buyQuantity: q }),
   941→
   942→  performPrestige: () => {
   943→    const s = get(); if (s.totalEarned < 1000) return;
   944→    const pts = Math.floor(Math.sqrt(s.totalEarned / 1000));
   945→    set({
   946→      crystals: 0, totalClicks: 0, totalEarned: 0, clickPower: 1, multiplier: 1, autoRate: 0,
   947→      prestige: s.prestige + 1, prestigePoints: s.prestigePoints + pts,
   948→      combo: 0, comboTimer: 0, maxCombo: 0,
   949→      goldenClicks: 0, goldenChance: 0.03, critChance: 0.05, totalCrits: 0,
   950→      goldenActive: false, goldenTimer: 0, activePowerUp: null, powerUpTimer: 0,
   951→      activeEvent: null, eventTimer: 0,
   952→      upgrades: [
   953→        ...DEFAULT_UPGRADES.map(u => ({ ...u })),
   954→        ...Object.values(AREA_UPGRADES).flat().map(u => ({ ...u })),
   955→      ],
   956→      milestones: MILESTONE_DEFS.map(m => ({ ...m, celebrated: false })),
   957→      floatingTexts: [], ripples: [], screenShake: true, crystalPulse: 5,
   958→      sessionClicks: 0, sessionEarned: 0,
   959→    });
   960→    get().checkAchievements();
   961→  },
   962→
   963→  updateCombo: () => {
   964→    const s = get();
   965→    if (s.comboTimer > 0) set({ comboTimer: s.comboTimer - 1, combo: s.comboTimer <= 1 ? 0 : s.combo });
   966→  },
   967→
   968→  updateGolden: () => {
   969→    const s = get();
   970→    if (s.goldenActive) {
   971→      if (s.goldenTimer > 0) set({ goldenTimer: s.goldenTimer - 1 });
   972→      else set({ goldenActive: false, goldenTimer: 0 });
   973→    } else {
   974→      let chance = 0.001;
   975→      if (s.activeEvent?.effect === 'tripleGolden') chance *= s.activeEvent.value;
   976→      chance *= (s.goldenChance / 0.03);
   977→      if (Math.random() < chance) {
   978→        const bv = s.clickPower * s.multiplier * 10 * (1 + s.prestigePoints * 0.1);
   979→        set({ goldenActive: true, goldenTimer: 400, goldenClickValue: Math.round(bv * 10) / 10 });
   980→      }
   981→    }
   982→  },
   983→
   984→  updateEvent: () => {
   985→    const s = get();
   986→    if (s.activeEvent) {
   987→      if (s.eventTimer > 0) set({ eventTimer: s.eventTimer - 1 });
   988→      else set({ activeEvent: null, eventTimer: 0 });
   989→    } else if (s.totalClicks > 50 && Math.random() < 0.0003) {
   990→      const t = EVENT_DEFS[Math.floor(Math.random() * EVENT_DEFS.length)];
   991→      set({ activeEvent: { ...t, timer: t.duration }, eventTimer: t.duration, totalEvents: s.totalEvents + 1 });
   992→      const q = [...s.achievementQueue];
   993→      q.push({ id: `evt_${Date.now()}`, name: t.name, description: t.description, icon: t.icon, unlocked: true, unlockedAt: Date.now(), condition: () => false });
   994→      set({ achievementQueue: q });
   995→      get().checkAchievements();
   996→    }
   997→  },
   998→
   999→  updatePowerUp: () => {
  1000→    const s = get();
  1001→    if (s.activePowerUp) {
  1002→      if (s.powerUpTimer > 0) set({ powerUpTimer: s.powerUpTimer - 1 });
  1003→      else set({ activePowerUp: null, powerUpTimer: 0 });
  1004→    } else if (s.totalClicks > 20 && Math.random() < 0.0008) {
  1005→      const t = POWER_UP_DEFS[Math.floor(Math.random() * POWER_UP_DEFS.length)];
  1006→      if (t.effect === 'instantBonus') {
  1007→        const b = Math.round((s.autoRate * 30 + s.clickPower * 5) * 10) / 10;
  1008→        set({ crystals: Math.round((s.crystals + b) * 100) / 100, totalEarned: Math.round((s.totalEarned + b) * 100) / 100, crystalPulse: 2 });
  1009→      } else {
  1010→        set({ activePowerUp: { ...t, timer: t.duration }, powerUpTimer: t.duration });
  1011→      }
  1012→    }
  1013→  },
  1014→
  1015→  updateNotification: () => {
  1016→    const s = get();
  1017→    if (s.currentNotification) {
  1018→      if (s.notificationTimer > 0) set({ notificationTimer: s.notificationTimer - 1 });
  1019→      else set({ currentNotification: null, notificationTimer: 0 });
  1020→    } else if (s.achievementQueue.length > 0) {
  1021→      const [next, ...rest] = s.achievementQueue;
  1022→      set({ currentNotification: next, notificationTimer: 30, achievementQueue: rest });
  1023→    }
  1024→  },
  1025→
  1026→  updateClickSpeed: () => {
  1027→    const s = get(); const now = Date.now();
  1028→    const r = s.clickTimestamps.filter(t => now - t < 1000);
  1029→    set({ clickTimestamps: r, clicksPerSecond: r.length });
  1030→  },
  1031→
  1032→  // Batched tick — all 100ms updates in a single setState for performance
  1033→  tick: () => {
  1034→    const s = get();
  1035→    const updates: Partial<GameState> = {};
  1036→
  1037→    // Auto income
  1038→    if (s.autoRate > 0) {
  1039→      let rate = s.autoRate;
  1040→      const puBonus = s.activePowerUp?.effect === 'tripleAuto' ? s.activePowerUp.value : 1;
  1041→      const evBonus = s.activeEvent?.effect === 'doubleAuto' ? s.activeEvent.value : 1;
  1042→      rate *= puBonus * evBonus;
  1043→      const prestMult = 1 + s.prestigePoints * 0.1;
  1044→      const income = rate * prestMult * 0.1;
  1045→      updates.crystals = Math.round((s.crystals + income) * 100) / 100;
  1046→      updates.totalEarned = Math.round((s.totalEarned + income) * 100) / 100;
  1047→      updates.sessionEarned = Math.round((s.sessionEarned + income) * 100) / 100;
  1048→    }
  1049→
  1050→    // Combo decay
  1051→    if (s.comboTimer > 0) {
  1052→      updates.comboTimer = s.comboTimer - 1;
  1053→      if (s.comboTimer <= 1) updates.combo = 0;
  1054→    }
  1055→
  1056→    // Golden crystal
  1057→    if (s.goldenActive) {
  1058→      if (s.goldenTimer > 0) updates.goldenTimer = s.goldenTimer - 1;
  1059→      else { updates.goldenActive = false; updates.goldenTimer = 0; }
  1060→    } else {
  1061→      let chance = 0.001;
  1062→      if (s.activeEvent?.effect === 'tripleGolden') chance *= s.activeEvent.value;
  1063→      chance *= (s.goldenChance / 0.03);
  1064→      if (Math.random() < chance) {
